AÑO,COD_DANE_DEPARTAMENTO,DEPARTAMENTO,COD_SECRETARIA,SECRETARIA,COD_DANE_MUNICIPIO,MUNICIPIO,CODIGO_DANE,NOMBRE_ESTABLECIMIENTO,COD_SECTOR,SECTOR,COD_CARACTER,CARACTER,COD_CALENDARIO,CALENDARIO,DIRECCION,BARRIO_VEREDA,TELEFONO,FAX,EMAIL,RECTOR,WEB,TOTAL_MATRICULA,CANTIDAD_SEDES
2019,68,SANTANDER,3811,FLORIDABLANCA,68276,FLORIDABLANCA,368276003167,COLEGIO DAN AMIGOS DE LA JUVENTUD,1002,NO_OFICIAL,-,-,52,A,CL 45 3 42,B. LAGOS II,6193545,,funda_cion@hotmail.com,JAEL VEGA PABÓN,www.colfundaj.org.co,31,1
2019,76,VALLE DEL CAUCA,3817,VALLE,76895,ZARZAL,376736001713,COLEGIO BELLO HORIZONTE,1002,NO_OFICIAL,-,-,52,A,KR 52 49 61 <EOF>,B. TRES DE MAYO,219 67 87,,,MARTHA CECILIA ACOSTA,,143,1
2019,41,HUILA,3790,HUILA,41524,PALERMO,341770000931,COLEGIO AVENTURAS EN PAÑALES,1002,NO_OFICIAL,-,-,52,A,CL 6 A 4 63,CENTRO,8324215,,,DALYS TORRES LOSADA,,110,1
2019,68,SANTANDER,3811,FLORIDABLANCA,68276,FLORIDABLANCA,368276003094,COLEGIO SANTA MARÍA DE CAÑAVERAL,1002,NO_OFICIAL,-,-,52,A,CL 0 0 0,CAÑAVERAL,6380172,,luciarivero6619@hotmail.com,ALBA LUCÍA RIVERO BELTRÁN,,23,1
2019,70,SUCRE,3813,SUCRE,70110,BUENAVISTA,370708060382,COLEGIO CRISTIANO ALFA Y OMEGA,1002,NO_OFICIAL,-,-,52,A,CL 22 13 76,,3106037790,,yaneth_patricia1972@hotmail.com,YANETH PATRICIA ACOSTA MONTIEL,,64,1
2019,76,VALLE DEL CAUCA,3818,CALI,76001,CALI,376001043838,COLEGIO INFANTIL BELEN,1002,NO_OFICIAL,-,-,53,B,CL 10 A 125 A 179,PANCE,5552227,,colegioinfantilbelen1@gmail.com,DIANA FERNANDA SADOVNIK PARRA,,203,1
2019,73,TOLIMA,3816,IBAGUÉ,73001,IBAGUÉ,373001013034,COLEGIO CORAZÓN DE MARIA,1002,NO_OFICIAL,-,-,52,A,KR 9 19 90 <EOF>,INTERLAKEN,,,,MARTHA CONSUELO BAHAMON CORTES,,137,1
2019,11,"CAPITAL BOGOTÁ, D.C.",3766,BOGOTÁ,11001,"BOGOTÁ, D.C.",311001800171,COLEGIO WINDSOR,1002,NO_OFICIAL,-,-,52,A,IND CL 146 7 F 31,CEDRITOS,3102128473,,info@colegiowindsor.com,NANCY ESPERANZA HERNANDEZ.,,10,1
2019,94,GUAINÍA,3829,GUAINÍA,94888,MORICHAL NUEVO,394001800009,COLEGIO PARROQUIAL MONSEÑOR ANTONIO BAYTER,1002,NO_OFICIAL,-,-,52,A,CL 6 32 29 <EOF>,PRIMAVERA II ETAPA,,,,WILLIAM YESID IBARRA DIAZ,,58,1
2019,11,"CAPITAL BOGOTÁ, D.C.",3766,BOGOTÁ,11001,"BOGOTÁ, D.C.",311001800201,COLEGIO MODERNO INTEGRAL ERIKA,1002,NO_OFICIAL,-,-,52,A,KR 5 D 48 M 40 SUR <EOF>,BOCHICA SUR,7140030  --  7675377,,yenny.garcia@liceoerika.edu.co marcela.garcia@liceoerika.edu.co,YENNY PATRICIA GARCIA VARGAS,,218,1
2019,11,"CAPITAL BOGOTÁ, D.C.",3766,BOGOTÁ,11001,"BOGOTÁ, D.C.",311001109991,COLEGIO GIMNASIO SABIDURIA DEL FUTURO,1002,NO_OFICIAL,-,-,52,A,IND KR 97 # 73 - 29/33/37 SUR  --  KR 97 C # 73 - 28/32/36 SUR,SAN BERNARDINO XIX,4839379,,gimnasiosabiduriadelfuturo@hotmail.com,YOHANA PATRICIA BALLESTEROS MAHECHA,,245,1
2019,68,SANTANDER,3811,FLORIDABLANCA,68276,FLORIDABLANCA,368276003019,COLEGIO MI LIBRE EXPRESION,1002,NO_OFICIAL,-,-,52,A,CL 204 C 38 A 90,LOS ANDES,6487659,6487659,colmiliex2002@gmail.com,SANDRA MILENA ESQUIVIA ARROYO,,6,1
2019,68,SANTANDER,3811,FLORIDABLANCA,68276,FLORIDABLANCA,368276002985,COLEGIO PIERRE DE COUBERTIN,1002,NO_OFICIAL,-,-,52,A,IND CL 40 5 37 <EOF>,LAGOS 2,6489268,,pierredecoubertincolegio@outlook.es,DIANA MARCELA MORA MONTAÑEZ,,38,1
2019,11,"CAPITAL BOGOTÁ, D.C.",3766,BOGOTÁ,11001,"BOGOTÁ, D.C.",311001109109,COLEGIO EMMANUEL JIREH,1002,NO_OFICIAL,-,-,52,A,KR 81 D 8 C 45,KENNEDY,4023265,,,GONZALEZ SIERRA ELIZABETH,,75,1
2019,41,HUILA,3790,HUILA,41524,PALERMO,341615006515,COLEGIO PEDAGOGICO LA CASITA MAGICA,1002,NO_OFICIAL,-,-,52,A,CL 7 A 7 00,CHAPINERO,3163952946,8387005,,GUTIERREZ QUINTERO SILVIA,,125,1
2019,41,HUILA,3790,HUILA,41524,PALERMO,441615800003,COLEGIO COLINA VERDE,1002,NO_OFICIAL,-,-,52,A,KM 7 VDA ARENOSO,VDA ARENOSO,3214517294,,,RIOS OTALORA GUSTAVO ADOLFO,,46,1
2019,8,ATLÁNTICO,4909,BARRANQUILLA,8001,BARRANQUILLA,308001800056,COLEGIO HARTFORD,1002,NO_OFICIAL,-,-,52,A,CL 87 43 B 30,,3529956 - 3017605495,,,CAROL VANESSA PIEDRAHITA BELLO,,85,1
2019,68,SANTANDER,3811,FLORIDABLANCA,68276,FLORIDABLANCA,368276003256,COLEGIO NEWPORT,1002,NO_OFICIAL,-,-,52,A,CL 31 29 126,CAÑAVERAL ORIENTAL,6185011,,principal@newportschool.edu.co director@newportschool.edu.co,CAROLINA CHARRY REYES,www.newportschool.edu.co,284,1
2019,11,"CAPITAL BOGOTÁ, D.C.",3766,BOGOTÁ,11001,"BOGOTÁ, D.C.",311001047944,COLEGIO PENSAR ANDINO,1002,NO_OFICIAL,-,-,52,A,CL 142 18 A 07,CEDRITOS,8628668 -- 8625360 -- 2581810,8627460,pensarandino@hotmail.com,JUAN MANUEL RODRIGUEZ ESCOBAR,,31,1
2019,25,CUNDINAMARCA,10850,FACATATIVÁ,25269,FACATATIVÁ,325269004173,COLEGIO NUEVA GENERACION,1002,NO_OFICIAL,-,-,52,A,CARRERA 7 N° 2E 32,LA ARBOLEDA,8921267,,and-daza@hotmail.com,ANDERSON ENRIQUE NIETO DAZA,,106,1
2019,68,SANTANDER,3811,FLORIDABLANCA,68276,FLORIDABLANCA,368276003108,COLEGIO INTEGRADO SANTO ANGEL,1002,NO_OFICIAL,-,-,52,A,IND CL 113 32 09 <EOF>,LA CASTELLANA,,,franciacaro.82@hotmail.com,FRANCIA CAROLINA DIAZ IRREÑO,,105,1
2019,68,SANTANDER,3811,FLORIDABLANCA,68276,FLORIDABLANCA,368276003078,COLEGIO PSICOPEDAGOGICO SAN FRANCISCO DE PAULA,1002,NO_OFICIAL,-,-,52,A,CL 56 15 16,EL REPOSO,6492555,,isqm_17@hotmail.com,AISLEN VANEZA GUERRERO BARON,,70,1
2019,25,CUNDINAMARCA,3788,SOACHA,25754,SOACHA,325754800042,COLEGIO JEAN FRITZ PIAGET,1002,NO_OFICIAL,-,-,52,A,IND CARRERA 8 N° 24A - 16,LA AMISTAD,7816632 - 3105508086 - 3108092989,,jeanfpiaget@gmail.com,ANA MARIA VASQUEZ GONZALEZ,,282,1
2019,11,"CAPITAL BOGOTÁ, D.C.",3766,BOGOTÁ,11001,"BOGOTÁ, D.C.",311001110166,COLEGIO LA FANTASIA DEL CONOCIMIENTO,1002,NO_OFICIAL,-,-,52,A,KR 141 A 144 58,FONTANA DEL RIO,4676703,,lafantasiadelconocimiento@hotmail.com,LADY MARCELA GUTIERREZ NIVIA,,3,1
2019,68,SANTANDER,3811,FLORIDABLANCA,68276,FLORIDABLANCA,368276002993,COLEGIO PEDAGOGICO MILENIUM III,1002,NO_OFICIAL,-,-,52,A,CL 200 19 64,LA PAZ FLORIDABLANCA,6398935,,colmilenium@hotmail.com,SANDRA MILENA GONZALEZ ROMAN,,43,1
2019,73,TOLIMA,3816,IBAGUÉ,73001,IBAGUÉ,373001012941,COLEGIO AMBIENTALISTA LUPA Y PINCEL,1002,NO_OFICIAL,-,-,52,A,MZ 4 F CS 6,URBANIZACION VILLA CLARA II,2722286 - 3153051690,,colambientalista@hotmail.com,SAMARIA ORTEGON BARRERA,www.colegioambientalistalypibague.com,21,1
2019,66,RISARALDA,3806,PEREIRA,66001,PEREIRA,366001007364,COLEGIO CRISTIANO FARES,1002,NO_OFICIAL,-,-,52,A,IND AVDA 30 DE AGOSTO CALLE 32  13-35,,3406465,,info@colegiofares.edu.co,ANA MARIA ARIAS GOMEZ,colegiofares.edu.co,247,1
2019,5,ANTIOQUIA,7609,RIONEGRO,5615,RIONEGRO,305615001339,COLEGIO MONTESSORI,1002,NO_OFICIAL,-,-,53,B,VEREDA CABECERAS,LLANOGRANDE,3171400,3171400,comunicaciones@montessori.edu,MYRIAM MONTES TAMAYO,www.montessori.edu.co,54,1
2019,25,CUNDINAMARCA,10857,MOSQUERA,25473,MOSQUERA,325473001060,COLEGIO JESUS DE NAZARET,1002,NO_OFICIAL,-,-,52,A,KR 10 8 16,B. LA CUMBRE,,,,LIZ MORELY GONZALEZ SAAVEDRA,,56,1
2019,73,TOLIMA,3816,IBAGUÉ,73001,IBAGUÉ,373001012968,COLEGIO FRITZ PIAGET,1002,NO_OFICIAL,-,-,52,A,IND MANZANA F CASA 17,VALPARAISO II ETAPA,,,,MARTHA CECILIA NIÑO GRAJALES,,93,1
2019,11,"CAPITAL BOGOTÁ, D.C.",3766,BOGOTÁ,11001,"BOGOTÁ, D.C.",311001109818,COLEGIO NACIDOS PARA TRIUNFAR EN CRISTO,1002,NO_OFICIAL,-,-,52,A,KR 114 C 151 C 10,TIBABUYES,6624031,,cnacidosparatriunfarencristo@gmail.com,LUIS EDUARDO CORONADO RIVAS,,73,1
2019,5,ANTIOQUIA,7609,RIONEGRO,5615,RIONEGRO,405615800015,COLEGIO JORGE ROBLEDO DEL VALLE DE SAN NICOLÁS.,1002,NO_OFICIAL,-,-,53,B,KILOMETRO 2 VÍA DON DIEGO  LLANOGRANDE,LLANOGRANDE,562 18 90,,sacademicajr@gmail.com,BEATRIZ ELENA PALACIO OSORIO,www.cjorgerobledo.com,70,1
2019,25,CUNDINAMARCA,3788,SOACHA,25754,SOACHA,325754800093,COLEGIO EL TREBOL,1002,NO_OFICIAL,-,-,52,A,IND CL 35 17 76 / DG 35 17 70,EL TREBOL,8823005,,eltrebolcolegio@gmail.com,DIANA CAROLINA MUNZA ISAZA,www.colegioeltrebol.com,195,1
2019,25,CUNDINAMARCA,3788,SOACHA,25754,SOACHA,325754005480,COLEGIO COLSUBSIDIO MAIPORÉ,1002,NO_OFICIAL,-,-,52,A,IND CARRERA 2 10 - 157 SUR,CIUDADELA MAIPORÉ,3124910487,7811043,colegiocolsubsidio.maipore@colsubsidio.com,ADRIANA NOELIA PIÑEROS CALDAS,www.colsubsidio.com,326,1
2019,41,HUILA,3791,NEIVA,41001,NEIVA,341001800134,COLEGIO SMART KIDS SCHOOL,1002,NO_OFICIAL,-,-,52,A,IND 7 N° 26 - 13,LA GAITANA,3005598495-3007825774,,smartkidsshool@hotmail.com,LUIS GUILLERMO MORENO ECHEVERRY,,24,1
2019,41,HUILA,3791,NEIVA,41001,NEIVA,341001061323,COLEGIO INFANTIL GIMNASIO LATINOAMERICANO,1002,NO_OFICIAL,-,-,52,A,CL 17 8 32,,,,,MARTHA CECILIA GALVIS CHALA,,74,1
2019,8,ATLÁNTICO,4909,BARRANQUILLA,8001,BARRANQUILLA,308001800048,COLEGIO FEDERICO FROEBEL,1002,NO_OFICIAL,-,-,52,A,KR 14 41 15,VICTORIA,3341412,,,VICTORIA ISABEL MEZA GENES,,35,1
2019,8,ATLÁNTICO,4909,BARRANQUILLA,8001,BARRANQUILLA,308001079438,COLEGIO INFANTIL FUENTE DE VIDA,1002,NO_OFICIAL,-,-,52,A,CL 112 21 74,,,,,MILDRE VILLA ALVARADO,,53,1
2019,68,SANTANDER,3810,BARRANCABERMEJA,68081,BARRANCABERMEJA,368081800011,COLEGIO ELIAB,1002,NO_OFICIAL,-,-,52,A,CL 59 27 65,GALAN,6208038-3183474118,,,MARINA MARTINEZ BARBA,,30,1
2019,76,VALLE DEL CAUCA,3818,CALI,76001,CALI,376001042904,COLEGIO LA FONTAINE  - LUCERITOS 2,1002,NO_OFICIAL,-,-,52,A,CL 3 OESTE 53 40,BELISARIO CAICEDO,3950976,,lafontainecali@gmail.com,LILIBEYDY MANRIQUE RAMIREZ,,99,1
2019,68,SANTANDER,3810,BARRANCABERMEJA,68081,BARRANCABERMEJA,368081800038,COLEGIO NUESTRA SEÑORA DE GUADALUPE,1002,NO_OFICIAL,-,-,52,A,KR 30 46 25,PALMIRA,6211431-3118572730,-,angelik0711@hotmail.com,LEYNE ANGELICA LAMBRAÑO DUARTE,-,21,1
2019,68,SANTANDER,3809,BUCARAMANGA,68001,BUCARAMANGA,368001800024,COLEGIO CHILDREN SCHOOL,1002,NO_OFICIAL,-,-,52,A,CL 17 32 D 08,SAN ALONSO,6949969,,colegiochildrenschool@yahoo.es,ESPERANZA LOPEZ LANDAZABAL,www.colchildrenschool.com,78,1
2019,25,CUNDINAMARCA,3788,SOACHA,25754,SOACHA,325754005234,COLEGIO SUEÑOS DEL FUTURO,1002,NO_OFICIAL,-,-,52,A,IND KR 20 45 D 17 13,OLIVOS I SECTOR,7326512,,suenosdelfuturo_22@hotmail.com,MARIA DEL TRANSITO CUBIDES MORENO,,129,1
2019,73,TOLIMA,3816,IBAGUÉ,73001,IBAGUÉ,373001012917,COLEGIO CASA DE VIDA,1002,NO_OFICIAL,-,-,52,A,KR 48 SUR 84 90,B. MIROLINDO,2612732,,,HORTENSIA SARMIENTO CIFUENTES,,107,1
2019,68,SANTANDER,3809,BUCARAMANGA,68001,BUCARAMANGA,368001007928,COLEGIO PSICOPEDAGOGICO GALILEO,1002,NO_OFICIAL,-,-,52,A,KR 15 56 36,GOMEZ NIÑO,6950954,,coorcolpsicopegogico@gmail.com,ALEXA BIVIANA MARTINEZ,www.colpsicopedagogicogalileo.com,90,1
2019,68,SANTANDER,3809,BUCARAMANGA,68001,BUCARAMANGA,368001800059,COLEGIO POSADA DEL PEREGRINO,1002,NO_OFICIAL,-,-,52,A,CL 42 12 24,GARCIA ROVIRA,6304037,6304037,guarderiaposadadelperegrino@gmail.com,ARLET SERRANO BECERRA,,65,1
2019,73,TOLIMA,3816,IBAGUÉ,73001,IBAGUÉ,373001012909,COLEGIO PEQUEÑOS EXPLORADORES DEL SABER,1002,NO_OFICIAL,-,-,52,A,KR 6 B 49 06,RINCON DE PIEDRA PINTADA,2640255,,,MARÍA PAULINA JIMÉNEZ MEDINA,,110,1
2019,68,SANTANDER,3810,BARRANCABERMEJA,68081,BARRANCABERMEJA,368081003812,COLEGIO ALFRED NOBEL,1002,NO_OFICIAL,-,-,52,A,CL 55 35 A 15,PRIMERO MAYO,6000593,,colegioalfrednobelbarrancabermeja@hotmail.com,CECILIA SUAREZ AGUAS,-,73,1
2019,85,CASANARE,4841,YOPAL,85001,YOPAL,485001800004,COLEGIO CAMPESTRE SIRIVANA,1002,NO_OFICIAL,-,-,52,A,KM 6 VIA SIRIVANA,,3214693349,,informacion@sirivanacountryschool.com,JOSE PASCUAL MONGUI ORDUZ,,5,1
2019,85,CASANARE,4841,YOPAL,85001,YOPAL,385001800018,COLEGIO DE LA PRESENTACIÓN YOPAL,1002,NO_OFICIAL,-,-,52,A,CL 10 23 62,LIBERTADOR,3212715497 3143726268,,secretariacolpreyopal@gmail.com,MARISOL MENDONZA PARDO,,122,1
2019,8,ATLÁNTICO,4909,BARRANQUILLA,8001,BARRANQUILLA,308001079535,COLEGIO DEL SAGRADO CORAZON -LA PAZ,1002,NO_OFICIAL,-,-,52,A,CL 106 13 35,,,,,HERMANO JESUS IGNASIO GANUZA SOTO,,201,1
2019,25,CUNDINAMARCA,3788,SOACHA,25754,SOACHA,325754800212,COLEGIO LITTLE GENIUS SAS,1002,NO_OFICIAL,-,-,52,A,KR 2 13 17 <EOF>,SAN HUMBERTO,9005186-3208853378,,colegio.little.genius@gmail.com,MARIA FERNANDA JIMENEZ LEURO,,41,1
2019,11,"CAPITAL BOGOTÁ, D.C.",3766,BOGOTÁ,11001,"BOGOTÁ, D.C.",311001800294,COLEGIO KUEPA RESTREPO,1002,NO_OFICIAL,-,-,52,A,KR 19 20 21 SUR <EOF>,RESTREPO,2120282 EXTS: 1301/02/03,,administracion.colombia@kuepa.com,DAVID JOSE GARCIA GARZON,,91,1
2019,8,ATLÁNTICO,4909,BARRANQUILLA,8001,BARRANQUILLA,308001079195,COLEGIO DIOS ES MI ESTANDARTE - NISSI,1002,NO_OFICIAL,-,-,52,A,KR 7 C 40 75,,,,,NINIS MERCADO GUZMAN,,32,1
2019,68,SANTANDER,3809,BUCARAMANGA,68001,BUCARAMANGA,368001800067,COLEGIO NUEVO CAMBRIDGE - BUCARAMANGA,1002,NO_OFICIAL,-,-,53,B,IND KR 39  44 72,CABECERA,6397774,,mramirez@cambridge.edu.co,MONICA RAMIREZ PEÑUELA,www.cambridge.edu.co,163,1
2019,68,SANTANDER,3809,BUCARAMANGA,68001,BUCARAMANGA,368001007791,COLEGIO KID S PLANET,1002,NO_OFICIAL,-,-,52,A,CL 73 55 01,LAGOS DEL CACIQUE,6315098,,kidsplanet2014@outlook.com,FANNY PAOLA QUINTERO REYES,www.kidsplanet.edu.co,54,1
2019,73,TOLIMA,3816,IBAGUÉ,73001,IBAGUÉ,373001012801,COLEGIO CREATIVO NUEVA GENERACION,1002,NO_OFICIAL,-,-,52,A,KR 50 SUR 143 B 20,B. LA ARBOLEDA,,,colnuevageneracion@hotmail.com,ANGELA MARIA RODRIGUEZ,,271,1
2019,85,CASANARE,3825,CASANARE,85279,RECETOR,385010001250,COLEGIO SANTA MONICA,1002,NO_OFICIAL,-,-,52,A,IND CLL 8 NO. 9- 49 Y10,B. SAN AGUSTÍN,310 5724055,,colegiosantamonica@hotmail.com,JAIME ERNESTO DIAZ PEREZ,,70,1
2019,11,"CAPITAL BOGOTÁ, D.C.",3766,BOGOTÁ,11001,"BOGOTÁ, D.C.",311001108714,COLEGIO PSICOPEDAGOGICO MENTOR,1002,NO_OFICIAL,-,-,52,A,CL 56 B SUR 79 B 17,KENNEDY,7807593,,,YENIFFER ANDREA SALAMANCA,,151,1
2019,8,ATLÁNTICO,4909,BARRANQUILLA,8001,BARRANQUILLA,308001800374,COLEGIO MIS PRIMERAS AVENTURAS,1002,NO_OFICIAL,-,-,52,A,KR 4 C 23 86 <EOF>,SIMON BOLIVAR,,,,MILENA AYALA MORENO,,119,1
2019,41,HUILA,3791,NEIVA,41001,NEIVA,341001800002,COLEGIO IWANNABE PRESCHOOL,1002,NO_OFICIAL,-,-,52,A,CL 23 5 A 48,BARRIO SEVILLA,8641414--3208287959,,iwannabeneiva@gmail.com,LUZ MARGARITA GARZON ARCE,,19,1
2019,41,HUILA,3791,NEIVA,41001,NEIVA,341001800231,COLEGIO PEDAGÓGICO AGUSTINIANO,1002,NO_OFICIAL,-,-,52,A,IND 29 N° 20 - 83,EL JARDIN,8622220 - 3174672021,,colegiopedagogicoagustiniano@outlook.es,DIANA FERNANDA BAUTISTA ACOSTA,,65,1
2019,41,HUILA,3790,HUILA,41524,PALERMO,341797000541,COLEGIO LICEO INFANTIL MARÍA AUXILIADORA,1002,NO_OFICIAL,-,-,52,A,KR 10 6 40,,3187229781,,,CEPEDA CASTILLO AMANDA,,21,1
2019,68,SANTANDER,3810,BARRANCABERMEJA,68081,BARRANCABERMEJA,368081800071,COLEGIO EDUCACION INTEGRAL POR CICLOS CLEIC,1002,NO_OFICIAL,-,-,52,A,KR 15 50 44,COLOMBIA,3017080269,-,cleic.edu@hotmail.com,ROBERTO CARLOS ASIS MALDONADO,-,50,1
2019,11,"CAPITAL BOGOTÁ, D.C.",3766,BOGOTÁ,11001,"BOGOTÁ, D.C.",311001110638,COLEGIO SUPERIOR PALERMO SANTA ISABEL,1002,NO_OFICIAL,-,-,1110,OTRO,AK 30 1 08 SUR,SANTA ISABEL,4975994,,colegiosuperiordepalermo@gmail.com,FREDY EDILSON ROJAS,,85,1
2019,81,ARAUCA,3824,ARAUCA,81001,ARAUCA,381001003449,COLEGIO CRISTIANO BETEL,1002,NO_OFICIAL,-,-,52,A,KR 21 25 87,,885 70 81,,,MARYLÚ MARÍN BRAVO,,61,1
2019,81,ARAUCA,3824,ARAUCA,81001,ARAUCA,381001002361,COLEGIO GIMNASIO CAMPESTRE DE ARAUCA,1002,NO_OFICIAL,-,-,52,A,KR 27 14 A 30,,8852800,,,NORA ALBA RODRIGUEZ AVILA,,63,1
2019,44,GUAJIRA,3792,LA GUAJIRA,44078,BARRANCAS,344110000121,COLEGIO PENINSULAR,1002,NO_OFICIAL,-,-,52,A,KR 2 B 12 112,,,,,CLARA NAYETH JOIRO PEREZ,,110,1
