Identificador,Producto,Cantidad,Precio Unitario,Total Pagado,Forma de pago,Lugar Compra,Fecha Compra
TXN_7623634,Torta,2,3.0,,Tarjeta Crédito,Restaurante,2023-07-11
TXN_9336980,Ensalada,4,DESCONOCIDO,20.0,Efectivo,Restaurante,2023-06-06
TXN_3424331,Torta,4,3.0,12.0,,,2023-01-18
TXN_5072031,Torta,2,3.0,6.0,Efectivo,Para llevar,2023-03-23
TXN_8687151,Ensalada,5,5.0,25.0,Efectivo,,2023-06-10
TXN_4031509,,4,,16.0,Tarjeta Crédito,Para llevar,2023-01-04
TXN_5265095,Café,1,2.0,2.0,ERROR,,2023-06-23
TXN_6541415,DESCONOCIDO,DESCONOCIDO,3.0,12.0,Efectivo,Restaurante,2023-11-25
TXN_4108138,Café,5,2.0,10.0,Efectivo,,2023-08-03
TXN_1909796,Granizado,2,4.0,8.0,,Para llevar,2023-07-12
TXN_1928241,Café,3,2.0,6.0,Efectivo,Restaurante,2023-04-30
TXN_4283157,Ensalada,5,5.0,25.0,Nequi/Daviplata,Restaurante,2023-11-25
TXN_8013032,Café,2,2.0,4.0,Tarjeta Crédito,,2023-03-07
TXN_8301424,Jugo,2,3.0,6.0,,ERROR,2023-06-27
TXN_1093800,Sandwich,3,4.0,12.0,Efectivo,Para llevar,
TXN_7965998,Jugo,1,DESCONOCIDO,3.0,Tarjeta Crédito,Restaurante,2023-11-02
TXN_9238666,Galleta,1,DESCONOCIDO,1.0,ERROR,Para llevar,2023-07-31
TXN_1631695,Te,2,1.5,3.0,,Restaurante,2023-09-19
TXN_1435086,Torta,5,,15.0,,ERROR,2023-02-09
TXN_3226832,DESCONOCIDO,5,4.0,20.0,Efectivo,DESCONOCIDO,2023-09-04
TXN_1648671,Sandwich,3,4.0,12.0,Efectivo,Para llevar,2023-05-21
TXN_4062737,Torta,3,3.0,9.0,Efectivo,Restaurante,2023-07-02
TXN_3494565,,2,4.0,8.0,ERROR,,2023-07-10
TXN_9249507,Galleta,4,1.0,4.0,Tarjeta Crédito,Restaurante,2023-11-21
TXN_4689500,Sandwich,4,4.0,16.0,,,2023-12-02
TXN_8989148,Te,2,1.5,,,,2023-11-25
TXN_8316826,Café,3,2.0,6.0,,Restaurante,2023-04-17
TXN_9836934,Galleta,3,1.0,3.0,Nequi/Daviplata,Restaurante,2023-03-13
TXN_8005489,Torta,3,3.0,9.0,,Restaurante,2023-08-12
TXN_6463132,Galleta,5,1.0,5.0,Tarjeta Crédito,Para llevar,
TXN_3925836,Galleta,3,1.0,3.0,Nequi/Daviplata,Restaurante,2023-02-16
TXN_1896955,Ensalada,ERROR,5.0,25.0,,Restaurante,2023-09-23
TXN_5075974,Granizado,ERROR,4.0,16.0,Nequi/Daviplata,,2023-04-11
TXN_3978874,Granizado,5,4.0,20.0,Tarjeta Crédito,Restaurante,2023-03-13
TXN_8955912,Sandwich,1,4.0,4.0,,,2023-11-07
TXN_1136554,Granizado,3,4.0,12.0,DESCONOCIDO,Para llevar,2023-03-26
TXN_8007337,Torta,2,3.0,6.0,Nequi/Daviplata,Para llevar,2023-11-01
TXN_8129834,Ensalada,1,5.0,5.0,Efectivo,,2023-07-22
TXN_3831848,DESCONOCIDO,1,4.0,4.0,Nequi/Daviplata,Para llevar,2023-11-03
TXN_5365809,Torta,3,3.0,9.0,Efectivo,Restaurante,2023-09-14
TXN_8166407,Granizado,2,,8.0,,,2023-07-26
TXN_6629480,Granizado,5,4.0,20.0,Tarjeta Crédito,Restaurante,2023-02-28
TXN_3833797,Café,4,2.0,8.0,DESCONOCIDO,Restaurante,2023-01-27
TXN_2643815,Galleta,DESCONOCIDO,1.0,3.0,ERROR,,2023-12-06
TXN_2996519,Torta,5,3.0,15.0,Efectivo,,2023-01-19
TXN_8810894,Granizado,1,4.0,4.0,,,2023-02-20
TXN_7412722,Jugo,4,3.0,12.0,Efectivo,Restaurante,2023-04-07
TXN_3937509,Granizado,2,4.0,8.0,,Restaurante,2023-03-20
TXN_6000201,Galleta,3,1.0,3.0,Efectivo,Para llevar,2023-02-16
TXN_1714274,Galleta,4,1.0,4.0,,Restaurante,2023-12-27
TXN_3800182,Te,2,ERROR,3.0,Efectivo,Restaurante,2023-10-26
TXN_5115080,,5,3.0,15.0,Tarjeta Crédito,,2023-02-18
TXN_9788956,Jugo,ERROR,3.0,12.0,ERROR,,2023-04-11
TXN_6311602,Jugo,3,3.0,9.0,Tarjeta Crédito,,2023-05-15
TXN_2950680,Café,2,2.0,4.0,Tarjeta Crédito,Para llevar,2023-12-10
TXN_6749847,Torta,2,3.0,6.0,Tarjeta Crédito,,2023-08-15
TXN_2143187,Granizado,1,4.0,4.0,,Restaurante,2023-04-21
TXN_8964522,,3,3.0,9.0,Tarjeta Crédito,Para llevar,2023-10-28
TXN_4088917,Café,3,2.0,6.0,Efectivo,Para llevar,2023-02-04
TXN_3779366,Galleta,1,1.0,1.0,Nequi/Daviplata,Restaurante,2023-04-15
TXN_7724048,Granizado,1,4.0,4.0,ERROR,Restaurante,2023-11-12
TXN_2698591,Te,5,1.5,7.5,,,2023-08-05
TXN_3171373,Granizado,3,4.0,12.0,Tarjeta Crédito,Restaurante,2023-05-10
TXN_4129248,Sandwich,2,4.0,8.0,Tarjeta Crédito,,ERROR
TXN_6498163,Granizado,5,4.0,20.0,,Restaurante,2023-07-15
TXN_6717827,ERROR,3,5.0,15.0,Nequi/Daviplata,,2023-11-15
TXN_9089898,Ensalada,3,ERROR,15.0,Tarjeta Crédito,,2023-01-11
TXN_8587583,Torta,1,ERROR,3.0,,,2023-10-01
TXN_8693704,Ensalada,ERROR,5.0,25.0,Efectivo,Restaurante,2023-05-04
TXN_3857960,Ensalada,4,5.0,20.0,Efectivo,Restaurante,2023-04-26
TXN_3499124,ERROR,4,4.0,16.0,Tarjeta Crédito,,2023-08-25
TXN_9250710,Ensalada,1,5.0,5.0,Efectivo,Restaurante,2023-05-28
TXN_7058377,Jugo,1,3.0,3.0,,Para llevar,2023-04-30
TXN_6766492,Ensalada,1,5.0,5.0,,ERROR,2023-01-14
TXN_9879996,Café,4,2.0,8.0,Nequi/Daviplata,Restaurante,2023-03-01
TXN_4291940,Torta,3,3.0,9.0,Tarjeta Crédito,Restaurante,2023-11-13
TXN_7433461,Galleta,2,1.0,2.0,Nequi/Daviplata,,2023-07-09
TXN_4068262,Ensalada,2,5.0,10.0,Tarjeta Crédito,,2023-05-13
TXN_5761073,Galleta,1,1.0,1.0,Efectivo,Restaurante,DESCONOCIDO
TXN_5047447,Ensalada,1,5.0,5.0,Nequi/Daviplata,Para llevar,2023-12-27
TXN_6623508,Galleta,5,1.0,5.0,Nequi/Daviplata,Para llevar,2023-05-18
TXN_2651216,DESCONOCIDO,3,4.0,12.0,,,2023-04-04
TXN_9350833,Torta,1,DESCONOCIDO,3.0,Efectivo,Para llevar,2023-01-17
TXN_8377564,Torta,5,3.0,15.0,,Restaurante,2023-07-14
TXN_7031118,Ensalada,1,5.0,5.0,Tarjeta Crédito,ERROR,2023-03-29
TXN_2230167,Torta,4,3.0,12.0,Nequi/Daviplata,Para llevar,2023-09-22
TXN_6446616,Te,3,1.5,4.5,ERROR,,2023-09-30
TXN_1721827,Torta,4,3.0,12.0,Nequi/Daviplata,ERROR,2023-08-22
TXN_6334895,Granizado,1,4.0,4.0,Tarjeta Crédito,ERROR,2023-07-27
TXN_7077119,ERROR,1,4.0,4.0,Nequi/Daviplata,Restaurante,2023-12-30
TXN_8562645,Ensalada,ERROR,5.0,DESCONOCIDO,,Restaurante,2023-05-18
TXN_4700144,Café,4,2.0,8.0,,Restaurante,2023-12-21
TXN_5526852,Sandwich,5,4.0,,Nequi/Daviplata,Restaurante,2023-09-28
TXN_6846228,Ensalada,3,,15.0,,Restaurante,2023-11-16
TXN_8570890,Jugo,4,3.0,12.0,,,2023-04-14
TXN_3205009,ERROR,2,1.5,3.0,Efectivo,Restaurante,2023-01-03
TXN_3786188,Te,3,1.5,4.5,Tarjeta Crédito,Restaurante,2023-10-20
TXN_4530804,Café,4,2.0,8.0,,,2023-01-12
TXN_9642066,Sandwich,3,4.0,12.0,Tarjeta Crédito,Restaurante,2023-08-31
TXN_7328294,Jugo,2,3.0,6.0,Efectivo,,2023-07-07
TXN_1908636,Te,2,1.5,3.0,,DESCONOCIDO,
TXN_9238066,,5,1.5,7.5,Nequi/Daviplata,Restaurante,2023-09-15
TXN_5415901,Torta,2,3.0,6.0,Nequi/Daviplata,,2023-10-21
TXN_6714420,ERROR,2,3.0,6.0,Tarjeta Crédito,Para llevar,2023-03-30
TXN_6616971,Jugo,2,3.0,6.0,Nequi/Daviplata,Para llevar,2023-09-02
TXN_7803615,Ensalada,3,5.0,15.0,Efectivo,Restaurante,2023-12-13
TXN_7549542,Galleta,5,1.0,5.0,,Para llevar,
TXN_3544789,Te,4,1.5,ERROR,DESCONOCIDO,Restaurante,2023-07-14
TXN_1583597,Ensalada,1,5.0,5.0,Efectivo,Restaurante,2023-05-10
TXN_8472308,Galleta,2,1.0,2.0,Nequi/Daviplata,Para llevar,2023-08-19
TXN_1967565,Granizado,5,4.0,20.0,Tarjeta Crédito,Para llevar,2023-03-31
TXN_2029497,Sandwich,2,4.0,8.0,Efectivo,Para llevar,2023-01-06
TXN_8929774,ERROR,3,3.0,9.0,Efectivo,,2023-10-02
TXN_5003018,Galleta,4,1.0,DESCONOCIDO,Nequi/Daviplata,,DESCONOCIDO
TXN_7852990,Sandwich,5,4.0,20.0,Nequi/Daviplata,Para llevar,2023-07-10
TXN_2534066,Ensalada,2,5.0,10.0,Efectivo,,2023-10-13
TXN_2059647,Te,1,1.5,1.5,Nequi/Daviplata,Restaurante,2023-05-29
TXN_2485183,Granizado,5,4.0,20.0,Efectivo,Restaurante,2023-07-07
TXN_7374846,Sandwich,1,4.0,4.0,Tarjeta Crédito,DESCONOCIDO,2023-05-29
TXN_9401522,Sandwich,4,4.0,16.0,Nequi/Daviplata,Restaurante,2023-11-16
TXN_8250651,Sandwich,4,4.0,16.0,Nequi/Daviplata,Restaurante,2023-03-13
TXN_7191245,Torta,4,3.0,12.0,,Para llevar,2023-05-22
TXN_8982764,Torta,5,3.0,15.0,Nequi/Daviplata,Para llevar,2023-11-23
TXN_8669422,,4,3.0,12.0,Efectivo,Para llevar,2023-10-15
TXN_1153869,Granizado,5,4.0,20.0,Tarjeta Crédito,Para llevar,2023-11-03
TXN_5043774,Sandwich,3,4.0,12.0,Efectivo,,2023-06-08
TXN_1746320,Ensalada,1,5.0,5.0,Efectivo,,2023-11-14
TXN_1077129,Galleta,1,1.0,1.0,,Restaurante,2023-09-12
TXN_4865338,Sandwich,DESCONOCIDO,4.0,16.0,,Restaurante,2023-11-26
TXN_5616583,Granizado,1,4.0,4.0,,,2023-10-13
TXN_2078474,Galleta,2,1.0,2.0,,Para llevar,2023-11-03
TXN_2130245,Granizado,5,4.0,20.0,Tarjeta Crédito,,2023-11-13
TXN_3229409,Jugo,DESCONOCIDO,3.0,DESCONOCIDO,Efectivo,Para llevar,2023-04-15
TXN_9076216,Torta,1,3.0,3.0,Efectivo,,2023-12-17
TXN_6371987,Te,5,1.5,ERROR,DESCONOCIDO,Para llevar,2023-03-13
TXN_9913877,ERROR,2,2.0,4.0,Tarjeta Crédito,,2023-05-09
TXN_2084377,Granizado,1,4.0,4.0,Tarjeta Crédito,ERROR,2023-10-22
TXN_1842675,ERROR,4,1.0,4.0,Tarjeta Crédito,Para llevar,2023-06-23
TXN_8605813,Galleta,1,1.0,1.0,,,2023-06-30
TXN_9755352,Sandwich,5,4.0,20.0,,Restaurante,2023-05-13
TXN_7550498,Jugo,5,3.0,15.0,,Restaurante,ERROR
TXN_2305908,Café,DESCONOCIDO,2.0,8.0,Efectivo,,2023-04-25
TXN_6953697,DESCONOCIDO,3,4.0,12.0,,Para llevar,2023-05-27
TXN_3495950,,4,ERROR,6.0,Tarjeta Crédito,Restaurante,2023-02-19
TXN_7557340,Te,5,1.5,7.5,Tarjeta Crédito,Restaurante,2023-12-11
TXN_1157817,Granizado,1,4.0,4.0,Nequi/Daviplata,Restaurante,2023-04-25
TXN_2020318,Te,3,1.5,4.5,Nequi/Daviplata,Restaurante,2023-10-12
TXN_8692094,Café,5,2.0,10.0,,Para llevar,2023-08-30
TXN_5307411,Torta,3,3.0,ERROR,Nequi/Daviplata,Para llevar,2023-10-21
TXN_9703120,Café,3,2.0,6.0,Tarjeta Crédito,,2023-11-02
TXN_1289133,Jugo,1,3.0,3.0,Efectivo,DESCONOCIDO,2023-09-19
TXN_2031459,Torta,3,3.0,9.0,Efectivo,Para llevar,2023-07-04
TXN_1333682,Granizado,1,4.0,4.0,Nequi/Daviplata,,2023-01-28
TXN_2256622,Galleta,2,,2.0,Efectivo,Restaurante,2023-10-04
TXN_1623966,Te,2,1.5,3.0,Efectivo,Para llevar,DESCONOCIDO
TXN_4912930,Granizado,3,4.0,12.0,Tarjeta Crédito,Restaurante,2023-02-26
TXN_4942692,Café,2,2.0,4.0,,Para llevar,2023-01-15
TXN_3723007,Te,3,1.5,4.5,Nequi/Daviplata,Restaurante,2023-05-18
TXN_7922392,Sandwich,3,4.0,12.0,,,2023-05-03
TXN_7498727,Ensalada,3,5.0,15.0,Efectivo,,2023-11-06
TXN_1222338,Galleta,1,1.0,1.0,,Restaurante,2023-10-11
TXN_6878866,Granizado,3,4.0,12.0,Tarjeta Crédito,,2023-02-25
TXN_1260335,Galleta,4,1.0,4.0,Nequi/Daviplata,Restaurante,
TXN_9223242,Granizado,2,4.0,8.0,,,2023-09-10
TXN_6244211,Granizado,2,4.0,8.0,,,2023-08-11
TXN_5446858,,1,1.0,1.0,Efectivo,Restaurante,2023-11-07
TXN_4612864,Te,3,1.5,4.5,,,2023-02-14
TXN_5411381,Galleta,ERROR,1.0,1.0,,,2023-04-28
TXN_3047598,Galleta,1,1.0,1.0,,,2023-09-06
TXN_5754317,Café,2,,4.0,Tarjeta Crédito,Para llevar,2023-01-10
TXN_7496926,Sandwich,3,4.0,12.0,ERROR,Restaurante,2023-04-23
TXN_1726858,Granizado,3,4.0,12.0,Efectivo,Restaurante,
TXN_7559388,Ensalada,4,5.0,20.0,Nequi/Daviplata,Para llevar,2023-02-26
TXN_8540499,Galleta,3,1.0,3.0,Efectivo,Restaurante,2023-01-22
TXN_4225756,Galleta,3,1.0,3.0,,Restaurante,2023-03-10
TXN_6795640,Galleta,4,1.0,4.0,Nequi/Daviplata,Para llevar,2023-01-28
TXN_6702428,Café,5,2.0,10.0,Efectivo,Para llevar,2023-08-11
TXN_8955259,ERROR,2,4.0,8.0,Tarjeta Crédito,,2023-11-18
TXN_4639319,Café,5,2.0,10.0,Efectivo,,2023-01-09
TXN_5997803,Café,5,2.0,10.0,,Restaurante,2023-12-03
TXN_1340956,ERROR,4,2.0,8.0,,,2023-10-26
TXN_1259671,Sandwich,DESCONOCIDO,4.0,12.0,Nequi/Daviplata,Restaurante,2023-10-08
TXN_8319993,Jugo,1,3.0,3.0,Nequi/Daviplata,,2023-08-06
TXN_8894157,Sandwich,4,4.0,16.0,Tarjeta Crédito,,ERROR
TXN_5523450,Ensalada,5,5.0,25.0,Tarjeta Crédito,Para llevar,2023-07-02
TXN_7838964,Sandwich,3,4.0,12.0,Tarjeta Crédito,Restaurante,2023-06-15
TXN_2773987,Granizado,5,4.0,20.0,ERROR,,2023-01-11
TXN_1158829,Te,1,DESCONOCIDO,1.5,Tarjeta Crédito,,2023-10-02
TXN_2523298,,4,,6.0,ERROR,Restaurante,2023-03-25
TXN_8685737,Granizado,2,4.0,8.0,,Restaurante,2023-11-02
TXN_5634135,Galleta,2,DESCONOCIDO,2.0,,ERROR,2023-01-27
